행정구역,2015년_계_총인구수,2015년_계_연령구간인구수,2015년_계_0~9세,2015년_계_10~19세,2015년_계_20~29세,2015년_계_30~39세,2015년_계_40~49세,2015년_계_50~59세,2015년_계_60~69세,2015년_계_70~79세,2015년_계_80~89세,2015년_계_90~99세,2015년_계_100세 이상,2015년_남_총인구수,2015년_남_연령구간인구수,2015년_남_0~9세,2015년_남_10~19세,2015년_남_20~29세,2015년_남_30~39세,2015년_남_40~49세,2015년_남_50~59세,2015년_남_60~69세,2015년_남_70~79세,2015년_남_80~89세,2015년_남_90~99세,2015년_남_100세 이상,2015년_여_총인구수,2015년_여_연령구간인구수,2015년_여_0~9세,2015년_여_10~19세,2015년_여_20~29세,2015년_여_30~39세,2015년_여_40~49세,2015년_여_50~59세,2015년_여_60~69세,2015년_여_70~79세,2015년_여_80~89세,2015년_여_90~99세,2015년_여_100세 이상
서울특별시 종로구 (1111000000),154986,154986,9256,14547,23272,21826,26288,25567,17157,11792,4261,811,209,76548,76548,4781,7557,11859,10878,12943,13022,8248,5297,1613,279,71,78438,78438,4475,6990,11413,10948,13345,12545,8909,6495,2648,532,138
서울특별시 중구 (1114000000),125733,125733,8179,9105,17668,20607,20436,21476,14661,9385,3476,603,137,62687,62687,4134,4618,8989,10522,10756,10924,7157,4187,1164,196,40,63046,63046,4045,4487,8679,10085,9680,10552,7504,5198,2312,407,97
서울특별시 용산구 (1117000000),233342,233342,16967,19844,31451,39187,40283,36760,24511,16669,6287,1094,289,113177,113177,8554,10341,15375,19425,20270,18062,11260,7153,2292,364,81,120165,120165,8413,9503,16076,19762,20013,18698,13251,9516,3995,730,208
서울특별시 성동구 (1120000000),297003,297003,23518,25795,43672,51194,50282,47842,29714,18131,5789,889,177,147570,147570,11930,12997,22221,25820,25761,24158,14288,8056,2044,243,52,149433,149433,11588,12798,21451,25374,24521,23684,15426,10075,3745,646,125
서울특별시 광진구 (1121500000),360369,360369,25934,34438,59063,63288,60793,56898,34360,18622,5923,895,155,176884,176884,13295,17698,28841,31699,30017,27864,16459,8723,2024,232,32,183485,183485,12639,16740,30222,31589,30776,29034,17901,9899,3899,663,123
서울특별시 동대문구 (1123000000),360153,360153,26070,31248,54417,57581,58356,57670,40283,25283,7882,1135,228,180485,180485,13379,15964,28232,29789,30339,28713,19278,11545,2841,345,60,179668,179668,12691,15284,26185,27792,28017,28957,21005,13738,5041,790,168
서울특별시 중랑구 (1126000000),413909,413909,30010,37183,58824,66193,68323,73072,46158,25170,7742,1087,147,206505,206505,15349,19276,29546,34546,34771,36307,22309,11606,2520,245,30,207404,207404,14661,17907,29278,31647,33552,36765,23849,13564,5222,842,117
서울특별시 성북구 (1129000000),459275,459275,37292,44817,65412,70999,80227,70884,47885,30321,9756,1401,281,224980,224980,19107,22911,32550,35530,40605,34385,22401,13625,3432,357,77,234295,234295,18185,21906,32862,35469,39622,36499,25484,16696,6324,1044,204
서울특별시 강북구 (1130500000),330873,330873,22657,30285,43412,49586,55637,55218,39918,25725,7195,1013,227,162967,162967,11635,15717,21969,25906,28204,26822,18147,11605,2642,259,61,167906,167906,11022,14568,21443,23680,27433,28396,21771,14120,4553,754,166
서울특별시 도봉구 (1132000000),351242,351242,25890,35801,47806,50550,59102,61270,38841,22944,7828,1086,124,173029,173029,13442,18483,24648,25742,28930,29358,18924,10467,2730,285,20,178213,178213,12448,17318,23158,24808,30172,31912,19917,12477,5098,801,104
서울특별시 노원구 (1135000000),574583,574583,45452,71635,77604,82395,104721,92361,54711,31752,12000,1733,219,279987,279987,23320,37384,39907,40784,50263,44806,25773,13419,3849,413,69,294596,294596,22132,34251,37697,41611,54458,47555,28938,18333,8151,1320,150
서울특별시 은평구 (1138000000),497920,497920,39466,49456,65211,80013,85631,78965,53795,33317,10264,1461,341,242975,242975,20255,25401,32441,40174,42781,37815,24862,15061,3736,401,48,254945,254945,19211,24055,32770,39839,42850,41150,28933,18256,6528,1060,293
서울특별시 서대문구 (1141000000),312141,312141,22476,29179,47147,47840,52545,48798,32575,22664,7580,1138,199,152008,152008,11574,14806,23670,24056,26269,23721,14890,9897,2764,316,45,160133,160133,10902,14373,23477,23784,26276,25077,17685,12767,4816,822,154
서울특별시 마포구 (1144000000),387643,387643,31587,34744,58681,72731,66902,55201,35148,23143,8044,1212,250,186495,186495,16132,17657,27751,35391,33566,26721,15859,10136,2898,329,55,201148,201148,15455,17087,30930,37340,33336,28480,19289,13007,5146,883,195
서울특별시 양천구 (1147000000),484532,484532,39013,63344,65341,69223,90418,80215,45584,22078,7983,1201,132,239995,239995,20081,33483,33399,34247,43422,40040,22636,9908,2475,274,30,244537,244537,18932,29861,31942,34976,46996,40175,22948,12170,5508,927,102
서울특별시 강서구 (1150000000),589074,589074,50383,55998,83941,106920,95417,93601,60884,29298,10807,1634,191,287947,287947,25707,28677,41152,54291,47634,44315,29069,13233,3402,411,56,301127,301127,24676,27321,42789,52629,47783,49286,31815,16065,7405,1223,135
서울특별시 구로구 (1153000000),422092,422092,38029,37129,56806,75923,68645,66292,46560,24360,7265,946,137,210440,210440,19296,19301,28205,38813,35534,32356,22636,11559,2492,215,33,211652,211652,18733,17828,28601,37110,33111,33936,23924,12801,4773,731,104
서울특별시 금천구 (1154500000),236284,236284,16328,20752,34550,37628,39528,41742,26502,14324,4204,598,128,120604,120604,8327,10696,18185,20518,20425,21155,12968,6699,1431,158,42,115680,115680,8001,10056,16365,17110,19103,20587,13534,7625,2773,440,86
서울특별시 영등포구 (1156000000),378504,378504,29502,31029,54712,68215,61493,60002,40948,23502,7721,1162,218,189394,189394,15134,16233,26760,35132,32003,30171,19860,10848,2850,344,59,189110,189110,14368,14796,27952,33083,29490,29831,21088,12654,4871,818,159
서울특별시 동작구 (1159000000),400641,400641,31342,34494,63113,71143,63573,60339,42259,24838,8054,1261,225,196463,196463,16201,17838,31643,35928,32118,28422,19495,11506,2920,323,69,204178,204178,15141,16656,31470,35215,31455,31917,22764,13332,5134,938,156
서울특별시 관악구 (1162000000),509663,509663,33191,38649,94582,98352,78122,72772,53670,30625,8305,1152,243,257491,257491,17051,19929,47710,53495,41501,35122,24838,14580,2946,264,55,252172,252172,16140,18720,46872,44857,36621,37650,28832,16045,5359,888,188
서울특별시 서초구 (1165000000),446764,446764,42159,50436,59466,76749,81327,63601,42630,21375,7400,1439,182,214737,214737,21608,25861,28549,35431,39315,30528,19893,10484,2645,377,46,232027,232027,20551,24575,30917,41318,42012,33073,22737,10891,4755,1062,136
서울특별시 강남구 (1168000000),576495,576495,44866,68049,83293,100853,104137,84565,54003,25811,8950,1754,214,276425,276425,23135,35950,39950,46463,48872,41074,24994,12604,2920,413,50,300070,300070,21731,32099,43343,54390,55265,43491,29009,13207,6030,1341,164
서울특별시 송파구 (1171000000),660302,660302,56779,70908,93616,114278,113482,104466,65430,29209,10204,1730,200,322441,322441,29133,36359,46435,55102,55368,50137,32218,13900,3318,415,56,337861,337861,27646,34549,47181,59176,58114,54329,33212,15309,6886,1315,144
서울특별시 강동구 (1174000000),458658,458658,36953,46925,64161,74979,75941,78756,49565,22029,7881,1284,184,228709,228709,19237,24904,33213,37975,37906,37919,24417,10499,2314,269,56,229949,229949,17716,22021,30948,37004,38035,40837,25148,11530,5567,1015,128
